choiceId,eventId,label,check,successText,failText,successEffects,failEffects,gotoStep,endStory
care_self,parent_sick,请长假回去,,你请了长假回去守着病床。,,family+1;str-1;tag:caregiver;buff:caregiver,,,
care_hire,parent_sick,请人照料,family>=6,你请了护工自己继续上班心里却一直悬着。,你请不起只好自己轮流扛。,family-1,str-1;tag:caregiver,,
friend_go,old_friend_call,赴约见面,,你们从中午聊到路灯亮起来。,,luck+1;int+1;favor:old_friend+10,,,
friend_skip,old_friend_call,找借口推辞,,你找了个借口挂了电话那天有点空。,,luck+0,,,
gp_wake,grandparent_pass,守到天亮,,你守到天亮记住了那个人最后的样子。,,luck+1;buff:grief;buff:remembered,,,
gp_sleep,grandparent_pass,被带去睡觉,,你被带去睡觉第二天世界已经变了。,,buff:grief;buff:lonely,,,
pa_rush,parent_pass,连夜赶回去,family>=4,你连夜赶回去把后事一件件办完。,你赶回去了但那些天几乎站不稳。,buff:grief;buff:upright,buff:grief;buff:numb,,
pa_numb,parent_pass,呆坐很久,,那些天你几乎不说话只把电话握热。,,buff:grief;buff:numb,,,
sp_hold,spouse_pass,把日子过下去,luck>=5,你把遗像摆正然后去把米下进锅里。,你把日子过下去了但夜里总要醒来。,buff:grief;buff:resilient;-buff:bonded,buff:grief;buff:widowed;-buff:bonded,,
sp_box,spouse_pass,把遗物收进箱子,,你把衣物叠好箱子盖上发出很小的一声。,,buff:grief;buff:widowed;-buff:bonded,,,
ch_keep,child_pass,把房间保持原样,,门关着里面的东西谁也没动。,,buff:grief;buff:hollow,,,
ch_pack,child_pass,一点点收拾出去,int>=6,你一点点收拾出去手一直在抖。,你没能收拾完又把东西放了回去。,buff:grief;buff:hollow;buff:resilient,buff:grief;buff:hollow,,
temple_pray,temple_visit,认真祈一祈,luck>=5,你觉得有什么被接住了。,香灰落下来你仍把话悄悄说完。,buff:blessed,buff:calm,,
temple_walk,temple_visit,在院子里坐坐,,院子很静你把呼吸放慢了。,,buff:calm,,,
apologize_send,apology_letter,寄出去,int>=5,回信来得很短但你轻了一点。,信石沉大海你还是把话说出口了。,buff:cleared,luck+1,,
apologize_burn,apology_letter,烧掉,,纸灰飞起来有些话到底没寄出。,,buff:regret,,,
iw_sword,iw_class,握住剑,str>=4,木剑在你手里居然不那么别扭。加伦点了下头。,你握得很丑但没人赶你走。,str+1,luck+1,iw_sword_train,
iw_mage,iw_class,拿起杖,int>=4,火花听话地跳了一下。莉瑟说勉强能看。,杖比你想的沉你差点掉地上。,int+1,luck+1,iw_mage_train,
iw_healer,iw_class,拿起圣印,luck>=4,光很淡但伤口不那么烫了。米娜在柜台后鼓掌。,圣印没亮你还是被编进治疗班。,luck+1,int+1,iw_healer_train,
iw_wolf_fight,iw_board,进林子解决,str>=5,你把狼群赶回去手上多了一道浅疤。,你被扑倒骑士及时把你拽出来。,str+1,str-1,iw_wolf_win,
iw_wolf_talk,iw_board,用食物劝退,int>=5,头狼闻了闻剩饭带着族群走了。,它们不吃你只好慢慢退回镇上。,luck+1;int+1,luck+0,iw_wolf_peace,
iw_tell_truth,iw_camp,说实话,,你说自己来自没有魔法的世界。有动画有便利店。莉瑟沉默了一会儿然后点头。,,luck+1,,,
iw_keep_secret,iw_camp,含糊过去,,你说记不清了。加伦嗯了一声。莉瑟把话头扯到明天的路。,,int+1,,,
iw_pull_ally,iw_trap,拉住同伴,str>=6,你抓住披风把人拽上来自己膝盖磕破了。,你没抓住但骑士自己翻了上来。,str+1;luck+1,luck+0,iw_loot,
iw_jump_self,iw_trap,先跳到稳处,int>=5,你踩到凸起的砖石回身把绳子扔下去。,你跳得太急脚踝拧了一下。,int+1,str-1,iw_loot,
iw_accept_hero,iw_audience,接过预言,luck>=5,你接过仪式剑称号比剑更沉。,你接了但殿里有人轻轻叹了口气。,buff:isekai_hero;tag:iw_hero,tag:iw_hero,iw_hero_path,
iw_refuse_hero,iw_audience,拒绝当勇者,,你说自己只是迷路的人。门外的风更干净。,,luck+1;tag:iw_wander,,iw_wander,
iw_duel,iw_rival,应战,str>=6,你赢了半招。全场静了一秒然后爆出声。赛德把水囊扔过来。,你输了。赛德还是把水囊扔给你：再来。,str+1;luck+1;buff:athletic;favor:saed+6,str+1;favor:saed+4,iw_drink,
iw_ignore_rival,iw_rival,不当回事,,你笑着走开。赛德在背后喊编号七。声音不像在骂。,,luck+1,,iw_drink,
iw_front,iw_ambush,冲到最前,str>=6,你把最小的那只举起来。它把木牌掉了：其实是要签名。,你冲太猛摔进黏液。噗噗把你舔出来。,luck+1;str+1,luck+1,iw_injury,
iw_protect,iw_ambush,护住莉瑟,int>=5,你挡在她前面。史莱姆把木牌举到你鼻尖：签名。,你挡得像墙壁。她从旁边探出头看热闹。,luck+1;int+1;favor:lise+5,luck+1;favor:lise+3,iw_injury,
iw_fight_demon,iw_demon,比试一招,str>=6,茶杯飞了。凯拍手：过瘾。请坐。,剑比你想的沉。凯还是给你倒了茶。,str+1;luck+1;tag:kai;favor:kai+8,luck+1;tag:kai;favor:kai+6,iw_battle,
iw_talk_demon,iw_demon,坐下喝茶,int>=6,茶是味噌味的。凯说：我从编号四那儿学的。,你的话很笨。凯让你把茶喝完。,int+1;luck+1;tag:kai;favor:kai+8,luck+1;tag:kai;favor:kai+6,iw_peace,
iw_want_home,iw_demon,我想回家,,凯指了指左边：门在那。记得常来喝茶。莉瑟在后面挥手。,,luck+1;buff:isekai_homesick;tag:kai;favor:kai+8,,iw_return,
iw_stay_king,iw_throne,留下,luck>=5,你把名字留下。有人开始叫你殿下。莉瑟说别飘。,你留下了。加伦把茶杯擦得很亮。,luck+1,luck+1,iw_stay_world,
iw_home_win,iw_throne,回家,,你把仪式剑靠在台阶上说声谢谢。凯把石片又按进你掌心。,,luck+1,,iw_return,
iw_stay_friend,iw_gate,留下当朋友,,他说那你就别当勇者了。明天带你去集市。噗噗已经滚进门里。,,luck+1,,iw_stay_world,
iw_home_peace,iw_gate,走进那道门,,门像水。你听见塑料袋。小指上还绕着头发。,,luck+1,,iw_return,
iw_appraise,iw_skill,展开鉴定,int>=4,世界被标上名字：毒草、可食、谎言。你忽然懂了很多。,光幕闪了一下你只看到HP。,int+1;buff:appraisal,luck+1,,
iw_skip_ui,iw_skill,先往有烟的地方走,,你把光幕挥掉。路还是路。肚子先叫了。,,luck+1,,,
iw_guild_true,iw_guild,如实登记,,米娜写下：第七人。她的笔顿了一下：欢迎来到能活下去的一侧。,,luck+1;buff:guild_card;tag:guild;tag:mina;favor:mina+8,,,
iw_guild_hide,iw_guild,隐瞒外来者,int>=5,你编了个边境牧羊人的身份。米娜看穿了但只盖了章。,她还是写下了第七人。眼镜闪了一下。,int+1;buff:guild_card;tag:guild;tag:mina;favor:mina+8,buff:guild_card;tag:guild;tag:mina;favor:mina+5,,
iw_slime_yes,iw_slime,收下当伙伴,,噗噗吧唧一声进了道具箱又探出头。好感变成2。,,luck+1;buff:slime_pal;tag:puku;favor:puku+15,,iw_town,
iw_slime_no,iw_slime,放回水沟,,它跟了你三条街。加伦说：它选了你。你只好认了。,,luck+1;buff:slime_pal;tag:puku;favor:puku+8,,iw_town,
iw_mimic_cut,iw_mimic,先砍,str>=5,牙断了。里面是普通的锈钉。莉瑟说：下次先鉴定。,你砍偏了加伦一剑结束。,str+1,luck+0,iw_trap,
iw_mimic_see,iw_mimic,先鉴定,int>=5,鉴定写着：拟态·饥饿。你们绕开走。噗噗朝它吐泡。,光幕来慢了你被咬了一口。,int+1;buff:appraisal,str-1,iw_trap,
iw_elf_follow,iw_elf,跟向导走,,树屋的床是活的枝条编的。族长给你一枚叶子：迷路时会亮。,,luck+1;buff:elf_night,,iw_elf_night,
iw_elf_skip,iw_elf,抄近路,,莉瑟没说话。林子在背后关上。你们省了一天也少了一夜灯。,,str+1,,iw_road,
iw_dance_yes,iw_dance,伸手去跳,luck>=5,鼓声里她的手很凉。烟火在两轮月亮之间开了又谢。,你踩了她两次。她还是没把手抽走。,luck+1;buff:lovestruck;buff:festival_night;favor:lise+10,luck+1;favor:lise+6,iw_rival,
iw_dance_no,iw_dance,去看烟火,,你站在桥上看灯笼漂走。莉瑟后来把一杯甜酒放在你手边。,,luck+1;buff:festival_night;favor:lise+3,,iw_rival,
iw_betray_speak,iw_betray,当场说清楚,,你说自己不是道具。女王罚大臣去抄预言一百遍。殿里有人偷偷鼓掌。,,luck+1;int+1,,iw_letter,
iw_betray_note,iw_betray,笑着溜走,,你拉着莉瑟从侧门溜出去。加伦在后面把门带上。,,luck+1,,iw_letter,
iw_dragon_heal,iw_dragon,帮它挠痒,luck>=5,鳞在你手下合拢。幼龙把额头抵过来，打了个更响的哈欠。,你挠错位置。它喷出一小朵无害的烟。,luck+1;buff:dragon_favor,luck+1,iw_rain,
iw_dragon_leave,iw_dragon,让它继续睡,,它翻了个身。尾巴扫到加伦。加伦说：……挺好。,,luck+1,,iw_rain,
iw_bind_wound,iw_injury,把黏液擦掉,,你用布把加伦的威严擦回来。他说下次换你滑。,,luck+1,,iw_dream,
iw_cast_heal,iw_injury,用圣印烘干,,光把黏液烘干成亮晶晶的壳。噗噗以为是零食。,,luck+1;buff:isekai_heal,,iw_dream,
gacha_once,gacha_night,就抽一发,luck>=6,金光裂开你盯着屏幕看了很久。,又是蓝你把手机扣在桌上。,luck+1;buff:gacha_fever,luck+0,,
gacha_whale,gacha_night,再来一轮,family>=6,你把钱包打开又合上然后还是点了确认。,点完你去看余额沉默了很久。,luck+1;family-1;buff:gacha_fever,family-2;buff:gacha_fever,,
fair_queue,comic_fair,排队买本,int>=5,你排到了想要的本子封面上有你认识的角色。,队伍没动太阳把你晒成一张薄饼。,luck+1;int+1;buff:otaku_soul,str-1,,
fair_look,comic_fair,只看不买,,你在人潮里漂到结束手里只有免费的扇子。,,luck+1,,,
cos_stage,first_cos,上台走两步,luck>=5,闪光灯把假发照得很热你还是比了那个姿势。,你走得发飘但有人喊了你的角色名。,luck+1;buff:cosplay_glow,luck+1,,
cos_photo,first_cos,找人拍一张,,你靠在展馆的柱子上拍完才发现拉链没拉好。,,luck+1,,,
iw_rd_pay,iw_rd_bandit,讲个故事,,孩子们坐成一排。你讲便利店。他们问：那是哪种地下城。,,luck+1;int+1,,,
iw_rd_fight,iw_rd_bandit,用树枝比试,,树枝折了。你们一起笑。过路费改成击掌。,,str+1;luck+1,,,
iw_rd_buy,iw_rd_charm,把糖买下,,符是纸。糖是真的。噗噗变成圆的。,,luck+1;buff:slime_pal,,,
iw_rd_break,iw_rd_charm,先鉴定,,鉴定写着糖果。商贩说早说嘛。他再送你一颗。,,int+1;luck+1,,,
iw_rd_lise_rest,iw_rd_nap,让她睡一会儿,,你让她靠着树。耳尖慢慢回红。她醒来第一句：汤呢。,,luck+1;buff:party_bond;favor:lise+4;favor:garen+2,,,
iw_rd_lise_push,iw_rd_nap,轻轻叫醒,,你把味噌的味道凑到她鼻尖。她睁眼就骂你。耳尖是红的。,,luck+1,,,
iw_rd_bridge_you,iw_rd_bridge,跟着噗噗过,,桥还在。你滑了一下。加伦在对面笑出声。,,luck+1,,,
iw_rd_bridge_them,iw_rd_bridge,让他们先过,,你留在后面拍照。莉瑟回头喊：白痴别掉下去。,,luck+1;buff:lovestruck,,,
iw_rd_sheep_wait,iw_rd_sheep,等羊过去,,头羊点了点头。像批了你的通关。,,luck+1,,,
iw_rd_sheep_sing,iw_rd_sheep,唱片尾曲,,羊居然跟着哼。莉瑟把脸埋进手里。,,luck+1;int+1,,,
